date,amount,donors,campaign,category,region
2023-01-01,12500,45,New Year Drive,Food,North
2023-01-08,9800,38,New Year Drive,Food,South
2023-01-15,11200,42,New Year Drive,Education,East
2023-01-22,10500,39,Winter Relief,Food,West
2023-01-29,13200,51,Winter Relief,Healthcare,North
2023-02-05,8900,34,February Fund,Food,South
2023-02-12,9500,36,February Fund,Education,East
2023-02-19,10100,40,February Fund,Food,West
2023-02-26,11800,46,Spring Hope,Healthcare,North
2023-03-05,14200,55,Spring Hope,Food,South
2023-03-12,15600,61,Spring Hope,Education,East
2023-03-19,13900,54,Spring Hope,Food,West
2023-03-26,16800,65,Holi Drive,Healthcare,North
2023-04-02,18200,70,Holi Drive,Food,South
2023-04-09,17500,68,April Campaign,Education,East
2023-04-16,19100,74,April Campaign,Food,West
2023-04-23,20500,79,Summer Start,Healthcare,North
2023-04-30,21200,82,Summer Start,Food,South
2023-05-07,19800,77,May Mission,Education,East
2023-05-14,18500,72,May Mission,Food,West
2023-05-21,17200,67,May Mission,Healthcare,North
2023-05-28,16800,65,May Mission,Food,South
2023-06-04,15500,60,June Drive,Education,East
2023-06-11,14200,55,June Drive,Food,West
2023-06-18,13800,54,June Drive,Healthcare,North
2023-06-25,15100,59,Mid-Year,Food,South
2023-07-02,14500,56,Mid-Year,Education,East
2023-07-09,13200,51,Mid-Year,Food,West
2023-07-16,12800,50,Monsoon Aid,Healthcare,North
2023-07-23,14100,55,Monsoon Aid,Food,South
2023-07-30,15800,61,Monsoon Aid,Education,East
2023-08-06,16500,64,August Fund,Food,West
2023-08-13,17200,67,August Fund,Healthcare,North
2023-08-20,18900,73,August Fund,Food,South
2023-08-27,20100,78,August Fund,Education,East
2023-09-03,22500,87,Festival Prep,Food,West
2023-09-10,24800,96,Festival Prep,Healthcare,North
2023-09-17,26200,101,Navratri Drive,Food,South
2023-09-24,28900,112,Navratri Drive,Education,East
2023-10-01,32500,126,Dussehra,Food,West
2023-10-08,35800,139,Dussehra,Healthcare,North
2023-10-15,38200,148,Diwali Campaign,Food,South
2023-10-22,45600,177,Diwali Campaign,Education,East
2023-10-29,52100,202,Diwali Peak,Food,West
2023-11-05,48900,190,Post-Diwali,Healthcare,North
2023-11-12,42500,165,November Fund,Food,South
2023-11-19,38900,151,November Fund,Education,East
2023-11-26,35200,137,November Fund,Food,West
2023-12-03,38500,149,Year-End,Healthcare,North
2023-12-10,42800,166,Year-End,Food,South
2023-12-17,48200,187,Christmas,Education,East
2023-12-24,55900,217,Christmas,Food,West
2023-12-31,61200,238,New Year Eve,Healthcare,North
2024-01-07,45800,178,January Reset,Food,South
2024-01-14,38500,149,January Reset,Education,East
2024-01-21,35200,137,Winter Care,Food,West
2024-01-28,33800,131,Winter Care,Healthcare,North
2024-02-04,31500,122,February Fund,Food,South
2024-02-11,29800,116,February Fund,Education,East
2024-02-18,28500,111,February Fund,Food,West
2024-02-25,30200,117,Spring Prep,Healthcare,North
2024-03-03,33500,130,Spring Prep,Food,South
2024-03-10,36800,143,Holi Special,Education,East
2024-03-17,41200,160,Holi Special,Food,West
2024-03-24,44900,174,Holi Special,Healthcare,North
2024-03-31,47500,184,Q1 Close,Food,South
2024-04-07,45200,175,April Drive,Education,East
2024-04-14,43800,170,April Drive,Food,West
2024-04-21,46500,180,April Drive,Healthcare,North
2024-04-28,49200,191,Summer Fund,Food,South
2024-05-05,51800,201,Summer Fund,Education,East
2024-05-12,49500,192,May Campaign,Food,West
2024-05-19,47200,183,May Campaign,Healthcare,North
2024-05-26,44900,174,May Campaign,Food,South
